변환,원자료
2012-01-31,1125.00 
2012-02-01,1125.80 
2012-02-02,1126.40 
2012-02-03,1118.50 
2012-02-06,1118.90 
2012-02-07,1119.90 
2012-02-08,1121.50 
2012-02-09,1116.70 
2012-02-10,1118.10 
2012-02-13,1121.20 
2012-02-14,1123.20 
2012-02-15,1123.60 
2012-02-16,1123.10 
2012-02-17,1127.80 
2012-02-20,1124.40 
2012-02-21,1122.70 
2012-02-22,1124.30 
2012-02-23,1126.30 
2012-02-24,1128.30 
2012-02-27,1124.70 
2012-02-28,1128.40 
2012-02-29,1126.50 
2012-03-02,1120.10 
2012-03-05,1114.50 
2012-03-06,1118.40 
2012-03-07,1120.30 
2012-03-08,1126.40 
2012-03-09,1119.80 
2012-03-12,1116.10 
2012-03-13,1122.10 
2012-03-14,1121.50 
2012-03-15,1123.80 
2012-03-16,1129.10 
2012-03-19,1124.40 
2012-03-20,1123.00 
2012-03-21,1123.10 
2012-03-22,1127.40 
2012-03-23,1130.30 
2012-03-26,1133.80 
2012-03-27,1138.10 
2012-03-28,1136.80 
2012-03-29,1137.20 
2012-03-30,1137.80 
2012-04-02,1134.20 
2012-04-03,1128.10 
2012-04-04,1123.40 
2012-04-05,1127.80 
2012-04-06,1129.50 
2012-04-09,1130.70 
2012-04-10,1137.60 
2012-04-12,1137.90 
2012-04-13,1142.30 
2012-04-16,1134.10 
2012-04-17,1137.70 
2012-04-18,1138.90 
2012-04-19,1136.60 
2012-04-20,1140.50 
2012-04-23,1140.20 
2012-04-24,1138.90 
2012-04-25,1141.20 
2012-04-26,1139.40 
2012-04-27,1137.80 
2012-04-30,1134.20 
2012-05-02,1131.60 
2012-05-03,1126.90 
2012-05-04,1130.00 
2012-05-07,1131.50 
2012-05-08,1138.90 
2012-05-09,1135.70 
2012-05-10,1140.00 
2012-05-11,1142.50 
2012-05-14,1145.20 
2012-05-15,1148.70 
2012-05-16,1154.10 
2012-05-17,1161.90 
2012-05-18,1163.20 
2012-05-21,1173.10 
2012-05-22,1166.70 
2012-05-23,1163.90 
2012-05-24,1171.70 
2012-05-25,1177.20 
2012-05-29,1180.40 
2012-05-30,1178.60 
2012-05-31,1177.80 
2012-06-01,1181.60 
2012-06-04,1180.30 
2012-06-05,1181.80 
2012-06-07,1178.40 
2012-06-08,1170.70 
2012-06-11,1173.00 
2012-06-12,1167.00 
2012-06-13,1170.50 
2012-06-14,1167.80 
2012-06-15,1166.80 
2012-06-18,1164.00 
2012-06-19,1158.40 
2012-06-20,1158.20 
2012-06-21,1152.70 
2012-06-22,1150.10 
2012-06-25,1157.20 
2012-06-26,1160.80 
2012-06-27,1159.90 
2012-06-28,1157.10 
2012-06-29,1153.80 
2012-07-02,1151.90 
2012-07-03,1143.70 
2012-07-04,1141.60 
2012-07-05,1135.30 
2012-07-06,1136.50 
2012-07-09,1138.40 
2012-07-10,1142.40 
2012-07-11,1143.10 
2012-07-12,1144.10 
2012-07-13,1145.80 
2012-07-16,1151.40 
2012-07-17,1147.60 
2012-07-18,1143.50 
2012-07-19,1140.20 
2012-07-20,1138.60 
2012-07-23,1140.70 
2012-07-24,1146.90 
2012-07-25,1148.10 
2012-07-26,1150.90 
2012-07-27,1147.20 
2012-07-30,1139.90 
2012-07-31,1136.20 
2012-08-01,1133.20 
2012-08-02,1127.60 
2012-08-03,1130.40 
2012-08-06,1135.60 
2012-08-07,1126.50 
2012-08-08,1127.30 
2012-08-09,1128.00 
2012-08-10,1126.20 
2012-08-13,1128.10 
2012-08-14,1131.20 
2012-08-16,1129.30 
2012-08-17,1133.10 
2012-08-20,1133.30 
2012-08-21,1135.50 
2012-08-22,1132.50 
2012-08-23,1133.50 
2012-08-24,1130.80 
2012-08-27,1133.70 
2012-08-28,1135.60 
2012-08-29,1137.20 
2012-08-30,1134.00 
2012-08-31,1134.60 
2012-09-03,1134.40 
2012-09-04,1131.80 
2012-09-05,1131.80 
2012-09-06,1135.00 
2012-09-07,1134.60 
2012-09-10,1130.50 
2012-09-11,1128.60 
2012-09-12,1129.30 
2012-09-13,1126.20 
2012-09-14,1127.80 
2012-09-17,1120.40 
2012-09-18,1115.00 
2012-09-19,1117.70 
2012-09-20,1117.10 
2012-09-21,1118.20 
2012-09-24,1119.40 
